City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
260,Kichha,IN,28.9167,79.5,63.59,25,0,1.92,clear sky
261,Sao Domingos,BR,-13.3983,-46.3183,72.68,54,32,2.93,scattered clouds
262,Monywa,MM,22.1167,95.1333,77.76,20,6,6.6,clear sky
263,Provideniya,RU,64.3833,-173.3,7.0,87,100,12.46,overcast clouds
264,Rawson,AR,-43.3002,-65.1023,60.3,63,1,7.25,clear sky
265,Inuvik,CA,68.3499,-133.7218,-0.4,65,90,9.22,overcast clouds
266,Shimanovsk,RU,52.0,127.7,31.15,90,100,8.12,light snow
267,Fuerte Olimpo,PY,-21.0415,-57.8738,80.83,44,42,5.12,scattered clouds
268,Luanda,AO,-8.8368,13.2343,78.8,83,75,3.44,broken clouds
269,Richards Bay,ZA,-28.783,32.0377,67.39,90,42,4.74,scattered clouds
270,Iqaluit,CA,63.7506,-68.5145,-16.01,63,20,8.05,few clouds
271,Upernavik,GL,72.7868,-56.1549,-33.0,83,6,4.61,clear sky
272,Slobodskoy,RU,58.7322,50.1772,30.47,94,99,5.57,overcast clouds
273,Youhao,CN,47.8667,128.8333,36.63,92,100,4.14,overcast clouds
274,Zheleznodorozhnyy,RU,55.7503,38.0042,37.99,87,75,4.47,broken clouds
275,Dunedin,NZ,-45.8742,170.5036,64.99,58,71,1.99,light rain
276,Fuyang,CN,32.9,115.8167,56.41,93,99,6.58,overcast clouds
277,Cockburn Town,TC,21.4612,-71.1419,78.8,69,40,13.8,scattered clouds
278,Isla Vista,US,34.4133,-119.861,63.0,51,1,12.66,clear sky
279,Qaanaaq,GL,77.484,-69.3632,-9.45,65,100,4.83,overcast clouds
280,Kampong Thum,KH,12.7111,104.8887,81.64,62,77,6.64,broken clouds
281,Rivers,CA,50.0308,-100.2403,39.2,41,40,13.8,scattered clouds
282,Owensboro,US,37.7742,-87.1133,60.8,59,1,4.61,clear sky
283,Pulandian,CN,39.3953,121.9669,44.01,100,40,8.95,mist
284,Bereda,ES,43.2686,-7.5406,36.0,99,52,1.01,broken clouds
285,Kenai,US,60.5544,-151.2583,33.8,51,90,8.05,overcast clouds
286,Saint-Louis,SN,16.3333,-15.0,91.4,16,0,13.6,clear sky
287,Barentu,ER,15.1139,37.5928,71.67,57,27,5.88,scattered clouds
288,Niesky,DE,51.2924,14.8211,48.99,78,74,7.45,broken clouds
289,Kholm-Zhirkovskiy,RU,55.5189,33.4731,32.5,99,100,2.48,overcast clouds
290,Ponerihouen,NC,-21.0833,165.4,83.55,62,35,7.78,scattered clouds
291,Port Arthur,CN,38.8,121.2667,41.0,100,40,8.95,light rain
292,Suntar,RU,62.1444,117.6319,13.17,92,65,4.56,broken clouds
293,Nanakuli,US,21.3906,-158.1547,80.6,69,75,8.05,broken clouds
294,Guangyuan,CN,32.442,105.823,55.99,93,100,0.76,overcast clouds
295,Juigalpa,NI,12.1063,-85.3645,89.6,48,40,9.22,scattered clouds
296,Broken Hill,AU,-31.95,141.4333,66.2,68,1,12.66,clear sky
297,Madang,PG,-5.2246,145.7966,82.56,78,93,0.51,overcast clouds
298,Carmaux,FR,44.051,2.158,51.8,81,90,17.27,overcast clouds
299,Rocha,UY,-34.4833,-54.3333,65.93,97,71,5.12,broken clouds
300,Maldonado,UY,-34.6667,-54.9167,70.0,100,90,8.05,overcast clouds
301,Saldanha,ZA,-33.0117,17.9442,62.6,88,18,3.44,moderate rain
302,Karmala,IN,18.4167,75.2,79.32,16,1,4.03,clear sky
303,Faanui,PF,-16.4833,-151.75,82.89,73,8,22.15,light rain
304,Ugoofaaru,MV,5.6667,73.0,83.61,74,100,14.9,overcast clouds
305,Gizo,SB,-8.103,156.8419,85.06,68,49,6.24,scattered clouds
306,Sitka,US,57.0531,-135.33,42.8,81,90,3.44,light rain
307,Acajutla,SV,13.5928,-89.8275,89.6,40,20,4.61,few clouds
308,Khandyga,RU,62.6667,135.6,13.23,79,100,4.79,overcast clouds
309,Ocos,GT,14.5094,-92.1933,87.8,66,75,8.05,broken clouds
310,Labuhan,ID,-6.8844,112.2051,79.47,85,98,4.45,overcast clouds
311,Kununurra,AU,-15.7667,128.7333,80.6,100,50,3.44,scattered clouds
312,Coihaique,CL,-45.5752,-72.0662,57.2,67,75,5.66,broken clouds
313,Mokhsogollokh,RU,61.4681,128.9203,22.87,94,98,0.92,overcast clouds
314,Nouakchott,MR,18.0858,-15.9785,71.6,64,1,17.27,clear sky
315,Searcy,US,35.2506,-91.7363,69.8,52,1,10.36,clear sky
316,Oistins,BB,13.0667,-59.5333,78.8,61,75,18.41,broken clouds
317,Komsomolskiy,UZ,40.4272,71.7189,51.8,87,100,4.61,overcast clouds
318,Innisfail,AU,-17.5333,146.0333,81.63,79,65,7.38,broken clouds
319,Ahipara,NZ,-35.1667,173.1667,70.09,73,88,15.37,overcast clouds
320,Tessalit,ML,20.1986,1.0114,72.37,12,0,20.6,clear sky
321,Codrington,AU,-38.2667,141.9667,62.15,63,53,13.85,broken clouds
322,Severo-Kurilsk,RU,50.6789,156.125,26.15,94,100,21.23,snow
323,Gillette,US,44.2911,-105.5022,39.99,70,75,9.22,broken clouds
